ID,startBin#,endBin#,width(bins),totalSpikeCount,peakBin,peakHeight(spikes),Interval(bins)
857,1942731,1942755,25,101827,1942744,7106,889
858,1943655,1943679,25,101813,1943668,7132,924
859,1945888,1945911,24,101807,1945900,7089,2232
860,1946287,1946311,25,101628,1946300,7061,400
861,1946718,1946742,25,101723,1946731,7081,431
862,1946986,1947010,25,96286,1947000,6432,269
863,1947808,1947832,25,101870,1947821,7137,821
864,1948376,1948399,24,101786,1948389,7058,568
865,1949104,1949127,24,101820,1949117,7151,728
866,1949883,1949906,24,101815,1949896,7192,779
867,1950661,1950685,25,101671,1950674,7013,778
868,1951962,1951986,25,101656,1951975,7070,1301
869,1952358,1952382,25,100698,1952371,6895,396
870,1952679,1952703,25,98071,1952692,6684,321
871,1953697,1953720,24,101649,1953710,7050,1018
872,1956838,1956861,24,101665,1956851,7062,3141
873,1958494,1958518,25,101684,1958507,7070,1656
874,1959452,1959475,24,101650,1959465,7068,958
875,1961488,1961511,24,101763,1961501,7048,2036
876,1963029,1963052,24,101766,1963042,7112,1541
877,1963555,1963578,24,101685,1963568,7129,526
878,1964560,1964584,25,101796,1964573,7101,1005
879,1965622,1965645,24,101763,1965635,7142,1062
880,1966192,1966215,24,101723,1966205,7133,570
881,1966949,1966972,24,101731,1966962,7109,757
882,1967412,1967435,24,101598,1967425,7020,463
883,1968249,1968273,25,101788,1968262,7137,837
884,1969108,1969132,25,101813,1969121,7129,859
885,1969495,1969518,24,101159,1969508,6966,387
886,1971265,1971288,24,101576,1971278,7051,1770
887,1972190,1972214,25,101604,1972203,7027,925
888,1972713,1972736,24,101317,1972726,6998,523
889,1973463,1973487,25,101610,1973476,7021,750
890,1974104,1974128,25,101568,1974117,6982,641
891,1974629,1974652,24,101381,1974642,6933,525
892,1975321,1975344,24,101532,1975334,6990,692
893,1975647,1975671,25,97761,1975660,6597,326
894,1977400,1977423,24,101570,1977413,7038,1753
895,1979099,1979122,24,101542,1979112,6965,1699
896,1980072,1980096,25,101483,1980085,7018,973
897,1980485,1980508,24,99983,1980498,6837,413
898,1981451,1981474,24,101385,1981464,6930,966
899,1983477,1983500,24,101404,1983490,6994,2026
900,1983965,1983989,25,100927,1983978,6858,488
901,1986014,1986038,25,101424,1986027,6920,2049
902,1987359,1987383,25,101423,1987372,6985,1345
903,1988376,1988399,24,101412,1988389,6918,1017
904,1990454,1990478,25,101682,1990467,7045,2078
905,1990953,1990977,25,101407,1990966,7023,499
906,1991942,1991965,24,101656,1991955,7075,989
907,1993044,1993068,25,101671,1993057,7051,1102
908,1993416,1993440,25,99981,1993429,6825,372
909,1993854,1993877,24,101066,1993867,6892,438
910,1994168,1994192,25,97464,1994181,6598,314
911,1995807,1995830,24,101622,1995819,6981,1638
912,1996649,1996673,25,101658,1996662,7072,843
913,1997454,1997477,24,101628,1997467,7065,805
914,1998119,1998143,25,101637,1998132,7049,665
915,1998677,1998701,25,101550,1998690,6978,558
916,1999137,1999161,25,101238,1999150,6892,460
917,2001190,2001214,25,100885,2001203,6885,2053
918,2002336,2002360,25,100937,2002349,6863,1146
919,2003179,2003203,25,100907,2003192,6928,843
